restaurant_id,restaurant_name,cuisine,price_range,delivery_time_min,distance_miles,rating,total_reviews,location,url
1440,Kakuya,"Japanese, Sushi",$$,26,1,,0,Toronto,https://www.doordash.com/store/22931598/?pickup=false
1441,MY POKE,"Japanese, Sushi",$$,26,26,,0,Toronto,https://www.doordash.com/store/22931593/?pickup=false
1442,Taste of Guang Xi 广西人,"Chinese, Snacks",$$,23,23,4.4,19,Toronto,https://www.doordash.com/store/1088154/?pickup=false
1443,Tsujiri,"Cakes, Desserts",$,26,0.9,5,0,Toronto,https://www.doordash.com/store/714858/?pickup=false
1444,Oriental Taste,"Chinese, Noodles",$,25,1.6,4.6,15,Toronto,https://www.doordash.com/store/1344820/?pickup=false
1445,A Bite of Sichuan 舌尖派对,"Chinese, Noodles",$$,30,30,4.7,93,Toronto,https://www.doordash.com/store/2839875/?pickup=false
1446,Fusia Asian Kitchen,"Asian Fusion, Noodles",$,24,24,4.7,186,Toronto,https://www.doordash.com/store/358579/?pickup=false
1447,BarBurrito,"Mexican, Burritos",$$,26,1.3,4.3,640,Toronto,https://www.doordash.com/store/314665/?pickup=false
1448,Ruby Thai,"Thai, Chicken",$$,26,1,4.6,0,Toronto,https://www.doordash.com/store/2860210/?pickup=false
1449,Tico Rico,"Burritos, Tacos",$$,27,27,4,0,Toronto,https://www.doordash.com/store/23148923/?pickup=false
1450,Pita & Grill,"Burgers, Shawarma",$$,26,26,4.3,44,Toronto,https://www.doordash.com/store/178813/?pickup=false
1451,Gurume Sushi,"Sushi, Salads",$$,27,1.4,4.8,67,Toronto,https://www.doordash.com/store/2533450/?pickup=false
1452,Canton Chilli Restaurant 喜悦轩,"Chinese, Family Meals",$$,27,1.1,4,0,Toronto,https://www.doordash.com/store/23392997/?pickup=false
1453,Hooters,"Appetizers, Sandwiches",$$,25,25,4.3,359,Toronto,https://www.doordash.com/store/39711/?pickup=false
1454,Salus Fresh Foods,"Halal, Asian",$,29,29,4.5,59,Toronto,https://www.doordash.com/store/1430276/?pickup=false
1455,Harbord Fish & Chips,"Fish & Chips, Seafood",$$,27,1.6,4.5,209,Toronto,https://www.doordash.com/store/52409/?pickup=false
1456,Shuyi Tealicious,"Fruit Tea, Milk Tea",$$,27,1,5,0,Toronto,https://www.doordash.com/store/2812655/?pickup=false
1457,Pizza Nova,"Pizza, Italian",$$,20,20,4.5,17,Toronto,https://www.doordash.com/store/23168999/?pickup=false
1458,Goubuli Restaurant,"Chinese, Seafood",$$,27,27,4.7,90,Toronto,https://www.doordash.com/store/1335685/?pickup=false
1459,Nile River Restaurant,"Egyptian, Middle Eastern",$$,28,1.6,4.5,111,Toronto,https://www.doordash.com/store/1295938/?pickup=false
1460,Cuppa Tea Harbourfront,"Milk Tea, Snacks",$$,27,0.5,4.7,96,Toronto,https://www.doordash.com/store/1187469/?pickup=false
1461,Pitaland,"Salads, Wraps",$$,28,28,4.4,76,Toronto,https://www.doordash.com/store/1247360/?pickup=false
1462,Convenience Canada,"Ice Cream, Cakes",$$,28,28,3.6,67,Toronto,https://www.doordash.com/convenience/store/1120252/?pickup=false
1463,Royal Foodland,"Snacks, Grocery",$$,27,1.3,5,0,Toronto,https://www.doordash.com/convenience/store/2537296/?pickup=false
1464,BBQ Chicken,"Family Meals, Fries",$$,30,1.1,4.6,38,Toronto,https://www.doordash.com/store/2352870/?pickup=false
1465,Fussion Sushi Bar Inc,"Spring Rolls, Sushi",$$,26,26,4.3,18,Toronto,https://www.doordash.com/store/2439859/?pickup=false
1466,Aroma Espresso Bar,"Breakfast, Sandwiches",$,21,21,4.3,72,Toronto,https://www.doordash.com/store/542665/?pickup=false
1467,F.ing Bomb Fried Chicken,"Fried Chicken, Alcohol",$$,29,1.6,3.7,35,Toronto,https://www.doordash.com/store/1430094/?pickup=false
1468,IZUMI Sake Brewery,"Convenience, Breweries",$$,27,1.6,5,0,Toronto,https://www.doordash.com/convenience/store/1360868/?pickup=false
1469,Piano Piano Pizzeria,"Pizza, Salads",$$,27,27,3.9,31,Toronto,https://www.doordash.com/store/2267342/?pickup=false
1470,Ara Japanese Restaurant,"Japanese, Sushi",$$,27,27,4.7,0,Toronto,https://www.doordash.com/store/2510280/?pickup=false
1471,Motorino Citta,"Sweets, Alcohol",$$,28,1.4,4.5,38,Toronto,https://www.doordash.com/store/1253992/?pickup=false
1472,Shook,"Coffee & Tea, Smoothies",$$,28,0.5,4.7,58,Toronto,https://www.doordash.com/store/1349044/?pickup=false
1473,Patties Express,"Snacks, Fast Food",$$,27,27,4.8,30,Toronto,https://www.doordash.com/store/2571986/?pickup=false
1474,Wildfire Steakhouse & Wine Bar,"Steakhouses, Appetizers",$$$,26,26,4.8,158,Toronto,https://www.doordash.com/store/52617/?pickup=false
1475,Slice Baby Slice,"Dessert, Pie",$$,25,1.1,4.5,20,Toronto,https://www.doordash.com/store/1455121/?pickup=false
1476,Vietlicious (Yonge St),"Vietnamese, Banh Mi",$$,27,1.1,4.5,62,Toronto,https://www.doordash.com/store/1059342/?pickup=false
1477,California Thai,"Thai, Fried Rice",$$,30,30,3.5,0,Toronto,https://www.doordash.com/store/1134628/?pickup=false
1478,Runner Market,"Coffee & Tea, Personal Care",$$,29,29,5,13,Toronto,https://www.doordash.com/store/2820996/?pickup=false
1479,Riviera Bakery,"Cakes, Cake Shop",$$,27,1.5,4,11,Toronto,https://www.doordash.com/store/542001/?pickup=false
